Puesto_de_Trabajo,Salario_Promedio_USD,Años_de_Experiencia,Nivel_Educativo,Indice_Exposicion_IA,Factor_Crecimiento_Tecnologico,Probabilidad_Automatizacion_2030,Categoria_Riesgo,Habilidad_1,Habilidad_2,Habilidad_3,Habilidad_4,Habilidad_5,Habilidad_6,Habilidad_7,Habilidad_8,Habilidad_9,Habilidad_10
Soporte al Cliente,109714,28,Doctorado,0.99,1.04,0.93,Alto,0.24,0.76,0.53,0.72,0.06,0.15,0.13,0.69,0.84,0.75
Científico de Datos,97067,12,Bachillerato,0.87,0.85,0.46,Medio,0.1,0.74,0.18,0.56,0.84,0.09,0.54,0.23,0.34,0.47
Obrero de Construcción,37561,2,Maestría,0.65,0.98,0.85,Alto,0.74,0.56,0.59,0.56,0.38,0.34,0.9,0.61,0.24,0.5
Maestro,142581,4,Bachillerato,0.93,0.51,0.11,Bajo,0.37,0.49,0.85,0.09,0.81,0.06,0.84,0.05,0.02,0.7
Investigador UX,39111,5,Licenciatura,0.4,1.47,0.65,Medio,0.82,0.26,0.17,0.67,0.93,0.56,0.57,0.28,0.77,0.19
Trabajador de Comercio,72101,3,Bachillerato,0.43,1.01,0.76,Alto,0.11,0.61,0.29,0.58,0.15,0.48,0.53,0.05,0.34,0.13
Guardia de Seguridad,117958,9,Bachillerato,0.99,0.82,0.9,Alto,0.25,0.68,0.76,0.6,0.47,0.41,0.35,0.93,0.83,0.97
Ingeniero de IA,97444,23,Bachillerato,0.99,0.71,0.14,Bajo,0.93,0.72,0.05,0.78,0.83,0.75,0.8,0.83,0.19,0.24
Ingeniero de IA,30077,25,Bachillerato,0.91,0.82,0.2,Bajo,0.68,0.45,0.71,0.9,0.62,0.54,0.44,0.58,0.36,0.39
Investigador UX,148721,13,Bachillerato,0.07,0.73,0.52,Medio,0.43,0.33,0.73,0.69,0.17,0.88,0.5,0.74,0.57,1.0
Soporte al Cliente,127720,0,Bachillerato,0.71,1.28,0.74,Alto,0.2,0.71,0.49,0.75,0.1,0.54,0.38,0.46,0.6,0.5
Científico de Datos,50103,4,Maestría,0.49,0.91,0.61,Medio,0.01,0.6,0.57,0.72,0.6,0.83,0.96,0.34,0.23,0.42
Diseñador Gráfico,145033,13,Bachillerato,0.61,1.41,0.36,Medio,0.1,0.26,0.73,0.59,0.1,0.92,0.79,0.02,0.65,0.77
Médico,95310,25,Licenciatura,0.07,0.58,0.08,Bajo,0.84,0.91,0.12,0.24,0.17,0.19,0.84,0.33,0.31,0.23
Mecánico,93374,20,Maestría,0.38,1.24,0.38,Medio,0.79,0.6,0.11,0.41,0.86,0.92,0.47,0.48,0.92,0.59
Científico Investigador,71914,11,Maestría,0.91,0.75,0.19,Bajo,0.17,0.03,0.31,0.78,0.28,0.22,0.21,0.52,0.98,0.46
Analista Financiero,132547,21,Doctorado,0.86,1.04,0.37,Medio,0.3,0.31,0.4,0.43,0.8,0.35,0.47,0.62,0.38,0.84
Investigador UX,119106,17,Maestría,0.29,1.21,0.51,Medio,0.53,0.48,0.5,0.77,0.1,0.33,0.08,0.75,0.27,0.9
Investigador UX,82603,0,Bachillerato,0.03,0.66,0.59,Medio,0.66,0.03,0.22,0.23,0.67,0.02,0.1,0.8,0.18,0.65
Guardia de Seguridad,131358,7,Licenciatura,0.1,0.74,0.88,Alto,0.86,0.83,0.4,0.67,0.2,0.29,0.9,0.01,0.09,0.21
Guardia de Seguridad,83394,15,Bachillerato,0.18,1.08,0.81,Alto,0.89,0.82,0.34,0.26,0.38,0.59,0.27,0.62,0.41,0.55
Enfermero/a,92516,11,Licenciatura,0.22,1.47,0.24,Bajo,0.11,0.57,0.99,0.47,0.18,0.48,0.51,0.74,0.7,0.4
Diseñador Gráfico,53752,21,Maestría,0.65,0.92,0.35,Medio,0.9,0.69,0.68,0.82,0.53,0.82,0.5,0.07,0.41,0.5
Ingeniero de IA,108411,22,Doctorado,0.11,0.64,0.12,Bajo,0.27,0.73,0.25,0.63,0.49,0.57,0.84,0.4,0.77,0.42
Chef,116145,27,Maestría,0.96,0.68,0.34,Medio,0.77,0.07,0.84,0.44,0.92,0.72,0.61,0.95,0.4,0.95
Científico de Datos,124613,4,Bachillerato,0.48,0.77,0.52,Medio,0.16,0.84,0.85,0.96,0.15,0.62,0.47,0.34,0.35,0.41
Gerente de Marketing,30060,10,Doctorado,0.6,0.96,0.33,Medio,0.08,0.0,0.97,0.01,0.1,0.31,0.81,0.96,0.79,0.69
Gerente de Marketing,87134,11,Bachillerato,0.54,1.37,0.59,Medio,0.81,0.66,0.69,0.85,0.25,0.49,0.22,0.99,0.94,0.04
Obrero de Construcción,67641,15,Doctorado,0.93,0.68,0.84,Alto,0.92,0.03,0.7,0.3,0.92,0.97,0.94,0.47,0.86,0.84
Científico Investigador,67265,26,Maestría,0.83,0.54,0.2,Bajo,0.23,0.12,0.08,0.7,0.34,0.72,0.07,0.32,0.54,0.79
Soporte al Cliente,145608,12,Maestría,0.63,1.39,0.85,Alto,0.23,0.02,0.87,0.02,0.87,0.53,0.94,0.8,1.0,0.35
Mecánico,59629,16,Bachillerato,0.4,0.98,0.55,Medio,0.87,0.98,0.77,0.42,0.42,0.74,0.24,0.11,0.35,0.29
Científico de Datos,85619,17,Licenciatura,0.23,0.54,0.31,Medio,0.99,0.43,0.38,0.68,0.22,0.95,0.79,0.09,0.42,0.88
Ingeniero de Software,136506,29,Doctorado,0.61,0.67,0.7,Medio,0.23,0.94,0.65,0.61,0.51,0.23,0.18,0.22,0.19,0.78
Científico Investigador,148533,4,Bachillerato,0.06,1.47,0.27,Bajo,0.93,0.99,0.17,0.4,0.76,0.7,0.15,0.82,0.22,0.22
Analista Financiero,105758,24,Licenciatura,0.59,1.08,0.34,Medio,0.88,0.27,0.13,0.89,0.96,0.86,0.81,0.66,0.55,0.09
Gerente de Marketing,55559,27,Maestría,0.37,0.76,0.59,Medio,0.5,0.08,0.22,0.68,0.08,0.85,0.5,0.48,0.59,0.82
Analista Financiero,31591,7,Maestría,0.68,1.07,0.41,Medio,0.88,0.8,0.66,0.85,0.87,0.71,0.84,0.7,0.68,0.62
Analista Financiero,32469,27,Maestría,0.16,1.38,0.65,Medio,0.03,0.83,0.13,0.34,0.74,0.16,0.82,0.83,0.51,0.01
Gerente de Marketing,117263,12,Licenciatura,0.62,1.48,0.55,Medio,0.26,0.63,0.54,0.78,0.11,0.76,0.54,0.96,0.34,0.63
Trabajador de Comercio,121357,4,Maestría,0.1,1.44,0.87,Alto,0.07,0.3,0.71,0.07,0.58,0.35,0.62,0.05,0.87,0.97
Enfermero/a,54860,11,Bachillerato,0.75,0.63,0.24,Bajo,0.02,0.02,0.32,0.49,0.77,0.68,0.45,0.27,1.0,0.43
Trabajador de Comercio,36540,8,Doctorado,0.16,1.29,0.87,Alto,0.22,0.08,0.68,0.65,0.27,0.95,0.15,0.43,0.94,0.42
Trabajador de Comercio,58602,19,Bachillerato,0.4,0.77,0.95,Alto,0.41,0.89,0.23,0.21,0.03,0.65,0.37,0.86,0.47,0.97
Abogado,69341,24,Doctorado,0.87,1.28,0.61,Medio,0.84,0.76,0.63,0.13,0.03,0.92,0.62,0.8,0.48,0.12
Médico,41536,29,Doctorado,0.69,0.93,0.1,Bajo,0.49,0.06,0.58,0.27,0.8,0.31,0.46,0.01,0.07,0.39
Gerente de Marketing,113309,14,Maestría,0.6,0.79,0.58,Medio,0.86,0.78,0.04,0.48,0.1,0.24,0.99,0.14,0.5,0.62
Ingeniero de IA,78787,0,Maestría,0.56,0.51,0.13,Bajo,0.52,0.09,0.35,0.03,0.08,0.4,0.13,0.57,0.69,0.8
Diseñador Gráfico,98577,9,Bachillerato,0.17,0.6,0.55,Medio,0.71,0.03,0.94,0.05,0.54,0.71,0.87,0.71,0.8,0.34
Obrero de Construcción,54826,6,Maestría,0.66,1.05,0.85,Alto,0.78,0.48,0.04,0.16,0.44,0.72,0.59,0.65,0.48,0.62
Gerente de Marketing,61890,22,Maestría,0.47,1.24,0.65,Medio,0.43,0.04,0.16,0.02,0.65,0.33,0.54,0.49,0.08,0.4
Especialista en RRHH,75500,28,Licenciatura,0.42,0.7,0.64,Medio,0.17,0.96,0.42,0.85,0.63,0.74,0.77,0.5,0.54,0.51
Conductor de Camión,95128,3,Doctorado,0.03,0.9,0.85,Alto,0.6,0.79,0.66,0.99,0.28,0.36,0.38,0.47,0.84,0.24
Investigador UX,49975,3,Bachillerato,0.91,0.68,0.4,Medio,0.97,0.18,0.85,0.49,0.25,0.87,0.45,0.51,0.36,0.59
Chef,75893,16,Maestría,0.39,1.47,0.4,Medio,0.66,0.33,0.77,0.13,0.97,0.45,0.24,0.07,0.17,0.52
Especialista en RRHH,106619,29,Bachillerato,0.15,0.95,0.54,Medio,0.95,0.25,0.36,0.38,0.61,0.36,0.53,0.78,0.71,0.45
Especialista en RRHH,113310,14,Bachillerato,0.56,1.04,0.31,Medio,0.99,0.12,0.23,0.05,0.64,0.22,0.18,0.09,0.1,0.58
Ingeniero de IA,55611,9,Bachillerato,0.4,0.98,0.22,Bajo,0.02,0.32,0.97,0.58,0.25,0.52,0.34,0.53,0.13,0.13
Conductor de Camión,108131,15,Licenciatura,0.94,1.23,0.74,Alto,0.19,0.73,0.16,0.23,0.96,0.26,0.66,0.98,0.37,0.02
Científico Investigador,58625,16,Licenciatura,0.83,1.36,0.24,Bajo,0.11,0.8,0.92,0.6,0.94,0.83,0.67,0.58,0.35,0.16
Abogado,47087,5,Licenciatura,0.32,1.37,0.7,Medio,0.75,0.09,0.29,0.11,0.65,0.77,0.93,0.44,0.9,0.88
Soporte al Cliente,143942,18,Licenciatura,0.87,0.88,0.77,Alto,0.65,0.33,0.63,0.61,0.56,0.38,0.55,0.6,0.55,0.44
Mecánico,109973,25,Bachillerato,0.59,0.67,0.56,Medio,0.76,0.5,0.54,0.95,0.85,0.91,0.81,0.11,0.15,0.53
Conductor de Camión,57598,11,Doctorado,0.48,0.89,0.84,Alto,0.75,0.72,0.52,0.82,0.43,0.9,0.07,0.95,0.65,0.38
Médico,75379,20,Licenciatura,0.48,0.69,0.09,Bajo,0.62,0.52,0.67,0.93,0.53,0.58,0.09,0.72,0.4,0.98
Especialista en RRHH,130441,24,Bachillerato,0.52,0.62,0.64,Medio,0.8,0.18,0.3,0.79,0.19,0.92,0.42,0.09,0.82,0.37
Investigador UX,72668,9,Bachillerato,0.11,0.5,0.56,Medio,0.52,0.59,0.79,0.65,0.17,0.36,0.91,0.77,0.56,0.26
Científico de Datos,140641,23,Maestría,0.82,0.92,0.57,Medio,0.1,0.62,0.45,0.59,0.17,0.74,0.86,0.22,0.1,0.02
Gerente de Marketing,46014,2,Doctorado,0.61,1.05,0.39,Medio,0.39,0.59,0.5,0.99,0.14,0.7,0.4,0.43,0.72,0.69
Científico de Datos,92438,23,Licenciatura,0.13,0.6,0.59,Medio,0.58,0.27,0.08,0.09,0.89,0.19,0.32,0.23,0.35,0.07
Médico,102240,27,Bachillerato,0.07,1.3,0.11,Bajo,0.54,0.88,0.65,0.53,0.32,0.33,0.67,0.99,0.66,0.56
Conductor de Camión,39686,29,Doctorado,0.33,1.08,0.72,Alto,0.96,0.63,0.75,0.17,0.41,0.42,0.82,0.0,0.3,0.98
Mecánico,40754,15,Doctorado,0.38,0.62,0.69,Medio,0.02,0.74,0.77,0.24,0.67,0.09,0.26,0.79,0.86,0.61
Trabajador de Comercio,40699,5,Licenciatura,0.16,0.56,0.73,Alto,0.23,0.34,0.38,0.35,0.24,0.51,0.83,0.28,0.94,0.87
Especialista en RRHH,120373,2,Doctorado,0.79,1.07,0.53,Medio,0.39,0.5,0.4,0.54,0.63,0.67,0.53,0.72,0.14,0.21
Ingeniero de Software,70461,8,Bachillerato,0.32,0.52,0.36,Medio,0.22,0.96,0.57,0.93,0.58,0.48,0.31,0.61,0.14,0.9
Especialista en RRHH,103965,28,Bachillerato,0.32,1.45,0.63,Medio,0.67,0.12,0.48,0.51,0.23,0.08,0.78,0.12,0.59,0.94
Científico Investigador,58179,17,Doctorado,0.28,1.35,0.05,Bajo,0.02,0.6,0.36,0.39,0.56,0.19,0.21,0.48,0.75,0.62
Médico,125694,8,Doctorado,0.43,0.67,0.07,Bajo,0.78,0.27,0.18,0.69,0.62,0.63,0.23,0.23,0.22,0.17
Chef,128723,27,Bachillerato,0.85,1.22,0.62,Medio,0.4,0.65,0.35,0.53,0.48,0.18,0.39,0.96,0.25,0.13
Analista Financiero,36548,21,Licenciatura,0.79,1.08,0.57,Medio,0.19,0.62,0.32,0.83,0.63,0.2,0.06,0.04,0.37,0.27
Científico Investigador,40634,20,Doctorado,0.84,0.6,0.17,Bajo,0.15,0.32,0.74,0.48,0.38,0.39,0.46,0.79,0.89,0.96
Especialista en RRHH,62784,23,Maestría,0.32,1.19,0.48,Medio,0.25,0.84,0.04,0.9,0.46,0.64,0.66,0.9,0.64,0.61
Enfermero/a,37099,22,Bachillerato,0.52,0.65,0.23,Bajo,0.51,0.68,0.04,0.08,0.72,0.07,0.07,0.01,0.96,0.74
Diseñador Gráfico,74857,13,Licenciatura,0.99,1.47,0.68,Medio,0.78,0.35,0.41,0.55,0.83,0.07,0.42,0.08,0.51,0.9
Científico de Datos,91063,7,Maestría,0.62,0.88,0.38,Medio,0.12,0.62,0.77,0.64,0.53,0.04,0.97,0.8,0.29,0.98
Guardia de Seguridad,89765,12,Doctorado,0.58,1.25,0.9,Alto,0.66,0.13,0.34,0.93,0.22,0.37,0.43,0.44,0.61,0.94
Mecánico,32461,19,Bachillerato,0.12,0.7,0.65,Medio,0.65,0.29,0.82,0.86,0.85,0.92,0.25,0.76,0.46,0.84
Maestro,53911,13,Maestría,0.78,1.16,0.09,Bajo,0.55,0.98,0.94,0.04,0.16,0.13,0.73,0.82,0.21,0.51
Analista Financiero,50567,11,Licenciatura,0.73,1.04,0.54,Medio,0.51,0.3,0.57,0.69,0.87,0.64,0.76,0.16,0.46,0.01
Gerente de Marketing,52656,11,Licenciatura,0.73,1.49,0.34,Medio,0.4,0.8,0.2,0.56,0.73,0.62,0.19,0.36,0.78,0.55
Científico Investigador,77701,9,Licenciatura,0.76,0.54,0.24,Bajo,0.2,0.96,0.37,0.33,0.15,0.31,0.88,1.0,0.37,0.45
Diseñador Gráfico,137539,9,Bachillerato,0.89,1.09,0.46,Medio,0.41,0.7,0.0,0.62,0.36,0.79,0.09,0.59,0.48,0.64
Científico Investigador,46087,4,Bachillerato,0.58,1.06,0.19,Bajo,0.6,0.68,0.8,0.27,0.83,0.5,0.08,0.06,0.33,0.78
Abogado,67861,20,Doctorado,0.79,1.02,0.48,Medio,0.15,0.33,0.43,0.09,0.22,0.6,0.74,1.0,0.93,0.64
Obrero de Construcción,89792,5,Maestría,0.64,1.29,0.73,Alto,0.41,0.84,0.38,0.57,0.59,0.18,0.36,0.33,0.03,0.02
Chef,36397,21,Licenciatura,0.27,1.02,0.42,Medio,0.94,0.26,0.43,0.87,0.84,0.19,0.8,0.46,0.48,0.13
Científico de Datos,49715,29,Maestría,0.73,1.0,0.47,Medio,0.73,0.77,0.16,0.61,0.14,0.75,0.66,0.96,0.07,0.06
Abogado,122573,21,Bachillerato,0.26,0.75,0.66,Medio,0.25,0.27,0.76,0.45,0.78,0.07,0.49,0.03,0.06,0.91
Diseñador Gráfico,133864,20,Maestría,0.53,0.91,0.44,Medio,0.9,0.02,0.66,0.96,0.56,0.94,0.05,0.42,0.26,0.73
Chef,48745,20,Maestría,0.26,1.15,0.38,Medio,0.57,0.46,0.97,0.61,0.35,0.11,0.15,0.23,0.25,0.85
Médico,49446,0,Maestría,0.52,0.61,0.27,Bajo,0.72,0.07,0.71,0.54,0.08,0.46,0.48,0.17,0.95,0.85
Enfermero/a,98673,9,Maestría,0.46,0.91,0.21,Bajo,0.55,0.06,0.51,0.81,0.46,0.05,0.79,0.2,0.26,0.16
Soporte al Cliente,93870,3,Doctorado,0.76,1.02,0.75,Alto,0.88,0.88,0.87,0.24,0.45,0.98,0.77,0.03,0.07,0.46
Analista Financiero,72951,11,Bachillerato,0.54,1.0,0.34,Medio,0.66,0.82,0.38,0.78,0.96,0.2,0.52,0.29,0.79,0.58
Obrero de Construcción,37239,22,Bachillerato,0.64,0.7,0.92,Alto,0.52,0.45,0.56,0.17,0.61,0.36,0.9,0.17,0.51,0.6
Soporte al Cliente,149798,7,Doctorado,0.89,1.15,0.74,Alto,0.44,0.62,0.08,0.88,0.8,0.51,0.97,0.42,0.98,0.67
Guardia de Seguridad,149052,1,Licenciatura,0.17,1.38,0.81,Alto,0.16,0.01,0.56,0.53,0.72,0.89,0.08,0.73,0.19,0.86
Maestro,39587,5,Licenciatura,0.54,1.21,0.13,Bajo,0.47,0.82,0.46,0.36,0.49,0.83,0.34,0.17,0.71,0.83
Gerente de Marketing,120301,0,Maestría,0.24,0.64,0.44,Medio,0.45,0.75,0.65,0.62,0.35,0.84,0.47,0.98,0.63,0.13
Especialista en RRHH,117969,1,Doctorado,0.31,0.5,0.57,Medio,0.17,0.66,0.99,0.07,0.08,0.34,0.87,0.22,0.36,0.07
Guardia de Seguridad,39528,20,Bachillerato,0.41,1.26,0.93,Alto,0.23,0.81,0.06,0.9,0.65,0.87,0.0,0.17,0.39,0.38
Maestro,95677,3,Maestría,0.38,0.63,0.15,Bajo,0.8,0.48,0.02,0.42,0.03,0.97,0.13,0.71,0.97,0.83
Especialista en RRHH,51778,8,Licenciatura,0.84,1.48,0.55,Medio,0.56,0.63,0.53,0.64,0.45,0.22,0.12,0.07,0.26,0.05
Abogado,36816,23,Bachillerato,0.28,1.32,0.33,Medio,0.23,0.73,0.6,0.06,0.88,0.88,0.33,0.34,0.99,0.63
Científico Investigador,53567,28,Licenciatura,0.84,0.79,0.16,Bajo,0.27,0.79,0.57,0.66,0.25,0.22,0.49,0.74,0.53,0.03
Abogado,121170,16,Licenciatura,0.06,1.46,0.31,Medio,0.69,0.08,0.91,0.46,0.14,0.34,0.16,0.17,0.95,0.45
Ingeniero de IA,91944,28,Licenciatura,0.64,1.18,0.08,Bajo,0.23,0.79,0.97,0.26,0.27,0.47,0.98,0.27,0.41,0.89
Guardia de Seguridad,123905,16,Licenciatura,0.04,1.1,0.93,Alto,0.24,0.47,0.45,0.47,0.62,0.47,0.45,0.47,0.59,0.54
Maestro,73056,13,Maestría,0.05,1.33,0.26,Bajo,0.28,0.46,0.44,0.22,0.4,0.04,0.28,0.82,0.28,0.82
Conductor de Camión,89156,18,Maestría,0.88,1.07,0.71,Alto,0.68,0.04,0.45,0.93,0.17,0.39,0.73,0.88,0.67,0.26
Gerente de Marketing,102124,15,Doctorado,0.3,1.22,0.68,Medio,0.72,0.86,0.0,0.72,0.83,0.04,0.87,0.26,0.67,0.8
Médico,54995,17,Doctorado,0.09,1.1,0.19,Bajo,0.9,0.4,0.32,0.75,0.41,0.65,0.65,0.89,0.6,0.5
Mecánico,100194,21,Bachillerato,0.12,0.65,0.37,Medio,0.64,0.74,0.53,0.83,0.99,0.82,0.69,0.53,0.45,0.08
Abogado,97534,25,Bachillerato,0.91,1.31,0.39,Medio,0.47,0.82,0.07,0.39,0.85,0.4,0.08,0.54,0.86,0.59
Investigador UX,123547,1,Bachillerato,0.38,0.95,0.53,Medio,0.76,0.1,0.89,0.01,0.37,0.03,0.39,0.53,0.51,0.17
Ingeniero de IA,111926,3,Licenciatura,0.04,1.26,0.29,Bajo,0.34,0.52,0.38,0.01,0.39,0.79,0.6,0.1,0.85,0.53
Especialista en RRHH,107487,19,Licenciatura,0.58,1.06,0.34,Medio,0.17,0.97,0.23,0.98,0.53,0.14,0.1,0.21,0.93,0.41
Especialista en RRHH,107362,17,Maestría,0.31,0.65,0.5,Medio,0.13,0.84,0.37,0.37,0.47,0.44,0.99,0.55,0.09,0.61
Analista Financiero,44973,19,Maestría,0.03,1.47,0.61,Medio,0.98,0.48,0.53,0.17,0.25,0.84,0.36,0.83,0.71,0.18
Científico Investigador,30340,13,Maestría,0.68,0.74,0.26,Bajo,0.54,0.17,0.58,1.0,0.15,0.82,0.21,0.78,0.73,0.3
Médico,104965,24,Licenciatura,0.79,0.96,0.23,Bajo,0.15,0.85,0.71,0.91,0.13,0.59,0.6,0.35,0.46,0.04
Conductor de Camión,74789,10,Maestría,0.55,0.56,0.87,Alto,0.47,0.03,0.97,0.95,0.51,0.09,0.75,0.49,0.3,0.49
Guardia de Seguridad,88954,0,Bachillerato,0.56,0.94,0.85,Alto,0.92,0.36,0.73,0.89,0.46,0.44,0.6,0.59,0.81,0.48
Maestro,78456,7,Doctorado,0.85,0.94,0.26,Bajo,0.89,0.06,0.88,0.45,0.51,0.63,0.93,0.02,0.48,0.69
